Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,Description of Goods,Service Department,Expense Area,Net Order Value,GL Code,Cost Centre
24/10/2024,ZZH747458,2,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance",Capital Expenditure - Works,Services to Place,#N/A,23460.00,200304,C.01198.203
28/10/2024,ZZH747553,1,6748,GEORGE COX & SONS LTD,240000,Horticultural,Grounds Maintenance,Services to Place,#N/A,70834.30,202032,C.01660.203
28/10/2024,ZZH747554,1,814,United Utilities/Diversiona,230000,Highway Equipment & Materials,Highways Maintenance,Services to Place,#N/A,64400.00,202055,C.01503.201
28/10/2024,ZZH747557,1,780,J A Jones + Sons,390000,Supplies and services,Supplies and services,Services to Place,#N/A,7517.00,401600,C.00718.203
28/10/2024,ZZH747597,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance",Capital Expenditure - Works,Services to Place,#N/A,26951.02,200304,C.01615.203
29/10/2024,ZZH747634,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,Services to Place,#N/A,1713274.54,401600,C.01621.203
30/10/2024,ZZH747672,1,10947,Willmott Dixon Construction Li,390000,"Works - Construction, Repair & Maintenance",Repairs and Maintenance,Services to Place,#N/A,1531020.00,200123,C.11054
30/10/2024,ZZH747681,1,6748,GEORGE COX & SONS LTD,390000,"Works - Construction, Repair & Maintenance",Capital Expenditure - Works,Services to Place,#N/A,19868.80,200304,C.01454.203
30/10/2024,ZZH747683,1,8233,IPL Plastics Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Wheelie Bins,14304.00,400401,10864
01/11/2024,ZZH747819,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance",Capital Expenditure - Works,Services to Place,#N/A,10380.00,200304,C.01710.203
01/11/2024,ZZH747831,1,2479,JR Foy and Son Ltd,390000,"Works - Construction, Repair & Maintenance",Capital Expenditure - Works,Corporate and Support Services,#N/A,8803.71,200311,C.11523.005
01/11/2024,ZZH747835,1,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance",Capital Expenditure - Works,Services to Place,#N/A,50277.50,200304,C.01198.203
04/11/2024,ZZH747922,1,1342,UK Container Maintenance Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Bulk Container,389.00,400401,10883
04/11/2024,ZZH747922,5,1342,UK Container Maintenance Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Bulk Container,2200.50,400401,10883
04/11/2024,ZZH747922,2,1342,UK Container Maintenance Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Bulk Container,1912.50,400401,10883
05/11/2024,ZZH747956,1,461,Drainage Consultants Ltd,390000,"Works - Construction, Repair & Maintenance",Capital Expenditure - Works,Services to Place,#N/A,9389.69,200311,C.11078.100
05/11/2024,ZZH748004,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,Services to Place,#N/A,395815.07,401600,C.01505.203
06/11/2024,ZZH748076,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,Services to Place,#N/A,209188.26,401600,C.01627.203
11/11/2024,ZZH748230,1,223,Groundwork Landscapes Ltd,240000,Horticultural,Grounds Maintenance,Services to Place,Land Dev-Werneth Os,5880.00,202033,11280
12/11/2024,ZZH748247,1,12630,J Freeley Ltd,181000,Environmental Services Demolition & Asbestos Removal,Capital Expenditure - Works,Corporate and Support Services,#N/A,33025.00,200308,C.11523.005
12/11/2024,ZZH748252,1,14317,Ridge and Partners LLP,390000,"Works - Construction, Repair & Maintenance",Repairs and Maintenance,Services to People,#N/A,12272.42,200127,C.10396.209
12/11/2024,ZZH748254,1,14317,Ridge and Partners LLP,390000,"Works - Construction, Repair & Maintenance",Repairs and Maintenance,Services to People,#N/A,15335.94,200121,C.10353.107
12/11/2024,ZZH748255,1,14317,Ridge and Partners LLP,390000,"Works - Construction, Repair & Maintenance",Capital Expenditure - Works,Services to People,#N/A,46400.76,200311,C.10338.166
12/11/2024,ZZH748277,1,2479,JR Foy and Son Ltd,390000,"Works - Construction, Repair & Maintenance",Repairs and Maintenance,Services to Place,#N/A,8930.00,200123,C.10976.004
12/11/2024,ZZH748286,1,14317,Ridge and Partners LLP,390000,"Works - Construction, Repair & Maintenance",Repairs and Maintenance,Services to People,#N/A,12103.63,200124,C.10309.250
12/11/2024,ZZH748290,1,14317,Ridge and Partners LLP,390000,"Works - Construction, Repair & Maintenance",Repairs and Maintenance,Services to People,#N/A,15654.87,200126,C.10427.250
13/11/2024,ZZH748322,1,8832,Safe and Secure Solutions Ltd,390000,"Works - Construction, Repair & Maintenance",Repairs and Maintenance,Corporate and Support Services,#N/A,31708.00,200160,C.11523.005
