Date,Dragino Door Sensor,Dragino Window 1 Sensor,Dragino Window 2 Sensor,humidity,co2,temperature,motion,light,occupancy,soundAvg,soundPeak,ltrCnt,rtlCnt
2023-11-27 02:30:00+00:00,0.0,0.0,0.0,17.0,444.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 02:35:00+00:00,0.0,0.0,0.0,17.0,448.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 02:40:00+00:00,0.0,0.0,0.0,17.0,430.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 02:45:00+00:00,0.0,0.0,0.0,17.0,440.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 02:50:00+00:00,0.0,0.0,0.0,17.0,452.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 02:55:00+00:00,0.0,0.0,0.0,17.0,443.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 03:00:00+00:00,0.0,0.0,0.0,17.0,430.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 03:05:00+00:00,0.0,0.0,0.0,17.0,444.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 03:10:00+00:00,0.0,0.0,0.0,17.0,442.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 03:15:00+00:00,0.0,0.0,0.0,17.0,453.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 03:20:00+00:00,0.0,0.0,0.0,17.0,456.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 03:25:00+00:00,0.0,0.0,0.0,17.0,436.0,23.1,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 03:30:00+00:00,0.0,0.0,0.0,17.0,458.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 03:35:00+00:00,0.0,0.0,0.0,17.0,464.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 03:40:00+00:00,0.0,0.0,0.0,17.0,444.0,23.1,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 03:45:00+00:00,0.0,0.0,0.0,17.0,442.0,23.1,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 03:50:00+00:00,0.0,0.0,0.0,17.0,453.0,23.1,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 03:55:00+00:00,0.0,0.0,0.0,17.0,434.0,23.1,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 04:00:00+00:00,0.0,0.0,0.0,17.0,448.0,23.1,0.0,0.0,0.0,32.0,59.0,0.0,0.0
2023-11-27 04:05:00+00:00,0.0,0.0,0.0,17.0,457.0,23.1,0.0,0.0,0.0,32.0,59.0,0.0,0.0
2023-11-27 04:10:00+00:00,0.0,0.0,0.0,17.0,463.0,23.1,0.0,0.0,0.0,33.0,59.0,0.0,0.0
2023-11-27 04:15:00+00:00,0.0,0.0,0.0,17.0,452.0,23.1,0.0,0.0,0.0,32.0,59.0,0.0,0.0
2023-11-27 04:20:00+00:00,0.0,0.0,0.0,17.0,439.0,23.1,0.0,0.0,0.0,32.0,59.0,0.0,0.0
2023-11-27 04:25:00+00:00,0.0,0.0,0.0,17.0,447.0,23.1,0.0,0.0,0.0,32.0,59.0,0.0,0.0
2023-11-27 04:30:00+00:00,0.0,0.0,0.0,17.0,457.0,23.1,0.0,0.0,0.0,34.0,59.0,0.0,0.0
2023-11-27 04:35:00+00:00,0.0,0.0,0.0,17.0,455.0,23.1,0.0,0.0,0.0,33.0,59.0,0.0,0.0
2023-11-27 04:40:00+00:00,0.0,0.0,0.0,17.0,448.0,23.1,0.0,0.0,0.0,33.0,59.0,0.0,0.0
2023-11-27 04:45:00+00:00,0.0,0.0,0.0,17.0,469.0,23.1,0.0,0.0,0.0,33.0,59.0,0.0,0.0
2023-11-27 04:50:00+00:00,0.0,0.0,0.0,17.0,447.0,23.1,0.0,0.0,0.0,33.0,59.0,0.0,0.0
2023-11-27 04:55:00+00:00,0.0,0.0,0.0,17.0,444.0,23.1,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 05:00:00+00:00,0.0,0.0,0.0,17.0,443.0,23.1,0.0,0.0,0.0,33.0,59.0,0.0,0.0
2023-11-27 05:05:00+00:00,0.0,0.0,0.0,17.0,462.0,23.1,0.0,0.0,0.0,33.0,59.0,0.0,0.0
2023-11-27 05:10:00+00:00,0.0,0.0,0.0,17.0,448.0,23.1,0.0,0.0,0.0,33.0,59.0,0.0,0.0
2023-11-27 05:15:00+00:00,0.0,0.0,0.0,17.0,435.0,23.1,0.0,0.0,0.0,32.0,59.0,0.0,0.0
2023-11-27 05:20:00+00:00,0.0,0.0,0.0,17.0,468.0,23.1,0.0,0.0,0.0,34.0,59.0,0.0,0.0
2023-11-27 05:25:00+00:00,0.0,0.0,0.0,17.0,446.0,23.1,0.0,0.0,0.0,34.0,59.0,0.0,0.0
2023-11-27 05:30:00+00:00,0.0,0.0,0.0,17.0,462.0,23.1,0.0,0.0,0.0,33.0,59.0,0.0,0.0
2023-11-27 05:35:00+00:00,0.0,0.0,0.0,17.0,443.0,23.1,0.0,0.0,0.0,34.0,59.0,0.0,0.0
2023-11-27 05:40:00+00:00,0.0,0.0,0.0,17.0,472.0,23.1,0.0,0.0,0.0,35.0,59.0,0.0,0.0
2023-11-27 05:45:00+00:00,1.0,0.0,0.0,17.0,450.0,23.1,0.0,0.0,0.0,34.0,59.0,0.0,0.0
2023-11-27 05:50:00+00:00,0.0,0.0,0.0,17.0,461.0,23.1,0.0,0.0,1.0,37.0,68.0,1.0,1.0
2023-11-27 05:55:00+00:00,0.0,0.0,0.0,17.0,485.0,23.1,5.0,361.0,0.0,38.0,71.0,0.0,0.0
2023-11-27 06:00:00+00:00,1.0,0.0,0.0,17.0,463.0,23.1,0.0,361.0,0.0,34.0,59.0,0.0,0.0
2023-11-27 06:05:00+00:00,0.0,0.0,0.0,17.0,450.0,23.1,0.0,7.0,1.0,39.0,80.0,2.0,1.0
2023-11-27 06:10:00+00:00,0.0,0.0,0.0,17.0,478.0,23.1,4.0,361.0,0.0,38.0,59.0,0.0,0.0
2023-11-27 06:15:00+00:00,0.0,0.0,0.0,17.0,477.0,23.0,0.0,360.0,0.0,36.0,62.0,0.0,0.0
2023-11-27 06:20:00+00:00,0.0,0.0,0.0,17.0,483.0,23.0,0.0,354.0,0.0,38.0,62.0,0.0,0.0
2023-11-27 06:25:00+00:00,0.0,0.0,0.0,17.0,477.0,23.1,0.0,354.0,0.0,37.0,59.0,0.0,0.0
2023-11-27 06:30:00+00:00,0.0,0.0,0.0,17.0,479.0,23.1,0.0,360.0,0.0,37.0,59.0,0.0,0.0
2023-11-27 06:35:00+00:00,0.0,0.0,0.0,17.0,500.0,23.1,0.0,360.0,0.0,36.0,59.0,0.0,0.0
2023-11-27 06:40:00+00:00,1.0,0.0,0.0,17.0,502.0,23.1,0.0,361.0,0.0,36.0,59.0,0.0,0.0
2023-11-27 06:45:00+00:00,0.0,0.0,0.0,17.0,517.0,23.1,0.0,362.0,0.0,36.0,61.0,0.0,1.0
2023-11-27 06:50:00+00:00,0.0,0.0,0.0,17.0,527.0,23.1,1.0,361.0,0.0,37.0,59.0,0.0,0.0
2023-11-27 06:55:00+00:00,1.0,0.0,0.0,17.0,519.0,23.1,0.0,362.0,0.0,36.0,59.0,0.0,0.0
2023-11-27 07:00:00+00:00,0.0,0.0,0.0,17.0,517.0,23.1,0.0,13.0,1.0,36.0,63.0,2.0,1.0
2023-11-27 07:05:00+00:00,0.0,0.0,0.0,17.0,506.0,23.1,6.0,367.0,0.0,40.0,63.0,0.0,0.0
2023-11-27 07:10:00+00:00,0.0,0.0,0.0,17.0,517.0,23.1,0.0,368.0,0.0,36.0,59.0,0.0,0.0
2023-11-27 07:15:00+00:00,0.0,0.0,0.0,17.0,529.0,23.1,0.0,369.0,0.0,39.0,61.0,0.0,0.0
2023-11-27 07:20:00+00:00,0.0,0.0,0.0,17.0,543.0,23.1,0.0,370.0,0.0,36.0,59.0,0.0,0.0
2023-11-27 07:25:00+00:00,0.0,0.0,0.0,18.0,527.0,23.1,0.0,374.0,0.0,38.0,59.0,0.0,0.0
2023-11-27 07:30:00+00:00,0.0,0.0,0.0,18.0,529.0,23.1,0.0,375.0,0.0,38.0,65.0,0.0,0.0
2023-11-27 07:35:00+00:00,0.0,0.0,0.0,18.0,525.0,23.1,0.0,377.0,0.0,41.0,61.0,0.0,0.0
2023-11-27 07:40:00+00:00,0.0,0.0,0.0,18.0,531.0,23.0,0.0,378.0,0.0,39.0,64.0,0.0,0.0
2023-11-27 07:45:00+00:00,0.0,0.0,0.0,18.0,546.0,23.1,0.0,382.0,0.0,39.0,62.0,0.0,0.0
2023-11-27 07:50:00+00:00,0.0,0.0,0.0,18.0,556.0,23.0,0.0,390.0,0.0,38.0,71.0,0.0,0.0
2023-11-27 07:55:00+00:00,1.0,0.0,0.0,18.0,543.0,23.0,0.0,398.0,0.0,37.0,62.0,0.0,0.0
2023-11-27 08:00:00+00:00,1.0,0.0,0.0,18.0,546.0,23.0,0.0,406.0,1.0,37.0,64.0,0.0,0.0
2023-11-27 08:05:00+00:00,0.0,0.0,0.0,18.0,565.0,23.0,3.0,407.0,1.0,46.0,71.0,4.0,3.0
2023-11-27 08:10:00+00:00,1.0,0.0,0.0,18.0,578.0,23.0,4.0,411.0,0.0,40.0,69.0,0.0,0.0
2023-11-27 08:15:00+00:00,1.0,0.0,0.0,18.0,586.0,23.0,0.0,423.0,1.0,37.0,64.0,1.0,0.0
2023-11-27 08:20:00+00:00,0.0,0.0,0.0,18.0,604.0,23.0,10.0,407.0,1.0,48.0,70.0,0.0,1.0
