Date,openDoors,humidity,co2,temperature,motion,light,soundAvg,soundPeak,openWindows
2023-12-16 03:40:00+00:00,0.0,21.0,466.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 03:45:00+00:00,0.0,21.0,468.0,21.9,0.0,3.0,34.0,59.0,0.0
2023-12-16 03:50:00+00:00,0.0,21.0,468.0,21.9,0.0,3.0,34.0,59.0,0.0
2023-12-16 03:55:00+00:00,0.0,21.0,457.0,21.9,0.0,3.0,34.0,59.0,0.0
2023-12-16 04:00:00+00:00,0.0,21.0,461.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 04:05:00+00:00,0.0,21.0,459.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 04:10:00+00:00,0.0,21.0,460.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 04:15:00+00:00,0.0,21.0,453.0,21.9,0.0,3.0,34.0,59.0,0.0
2023-12-16 04:20:00+00:00,0.0,21.0,457.0,21.9,0.0,3.0,34.0,59.0,0.0
2023-12-16 04:25:00+00:00,0.0,21.0,470.0,21.9,0.0,3.0,34.0,59.0,0.0
2023-12-16 04:30:00+00:00,0.0,21.0,460.0,21.9,0.0,3.0,34.0,59.0,0.0
2023-12-16 04:35:00+00:00,0.0,21.0,453.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 04:40:00+00:00,0.0,21.0,459.0,21.9,0.0,3.0,34.0,59.0,0.0
2023-12-16 04:45:00+00:00,0.0,21.0,446.0,21.9,0.0,3.0,34.0,59.0,0.0
2023-12-16 04:50:00+00:00,0.0,21.0,460.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 04:55:00+00:00,0.0,21.0,466.0,21.9,0.0,3.0,34.0,59.0,0.0
2023-12-16 05:00:00+00:00,0.0,21.0,462.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 05:05:00+00:00,0.0,21.0,471.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 05:10:00+00:00,0.0,21.0,458.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 05:15:00+00:00,0.0,21.0,448.0,21.9,0.0,3.0,34.0,59.0,0.0
2023-12-16 05:20:00+00:00,0.0,21.0,446.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 05:25:00+00:00,0.0,21.0,458.0,21.9,0.0,3.0,34.0,59.0,0.0
2023-12-16 05:30:00+00:00,0.0,21.0,459.0,21.9,0.0,3.0,34.0,59.0,0.0
2023-12-16 05:35:00+00:00,0.0,21.0,447.0,21.9,0.0,3.0,34.0,59.0,0.0
2023-12-16 05:40:00+00:00,0.0,21.0,451.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 05:45:00+00:00,0.0,21.0,444.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 05:50:00+00:00,0.0,21.0,457.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 05:55:00+00:00,0.0,21.0,465.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 06:00:00+00:00,0.0,21.0,449.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 06:05:00+00:00,0.0,21.0,451.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 06:10:00+00:00,0.0,21.0,452.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 06:15:00+00:00,0.0,21.0,451.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 06:20:00+00:00,0.0,21.0,464.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 06:25:00+00:00,0.0,21.0,460.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 06:30:00+00:00,0.0,21.0,463.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 06:35:00+00:00,0.0,21.0,448.0,22.0,0.0,4.0,35.0,59.0,0.0
2023-12-16 06:40:00+00:00,0.0,21.0,453.0,21.9,0.0,4.0,35.0,59.0,0.0
2023-12-16 06:45:00+00:00,0.0,21.0,473.0,22.0,0.0,4.0,35.0,59.0,0.0
2023-12-16 06:50:00+00:00,0.0,22.0,452.0,22.0,0.0,5.0,35.0,59.0,0.0
2023-12-16 06:55:00+00:00,0.0,22.0,461.0,22.0,0.0,6.0,35.0,59.0,0.0
2023-12-16 07:00:00+00:00,0.0,22.0,452.0,22.0,0.0,7.0,35.0,59.0,0.0
2023-12-16 07:05:00+00:00,0.0,22.0,444.0,22.0,0.0,8.0,35.0,59.0,0.0
2023-12-16 07:10:00+00:00,0.0,22.0,453.0,22.1,0.0,9.0,35.0,59.0,0.0
2023-12-16 07:15:00+00:00,0.0,22.0,465.0,22.1,0.0,12.0,35.0,59.0,0.0
2023-12-16 07:20:00+00:00,0.0,22.0,451.0,22.1,0.0,15.0,35.0,59.0,0.0
2023-12-16 07:25:00+00:00,0.0,22.0,472.0,22.1,0.0,18.0,35.0,59.0,0.0
2023-12-16 07:30:00+00:00,0.0,22.0,467.0,22.2,0.0,19.0,35.0,59.0,0.0
2023-12-16 07:35:00+00:00,0.0,22.0,461.0,22.2,0.0,22.0,35.0,59.0,0.0
2023-12-16 07:40:00+00:00,0.0,22.0,439.0,22.2,0.0,23.0,35.0,59.0,0.0
2023-12-16 07:45:00+00:00,0.0,22.0,457.0,22.2,0.0,25.0,35.0,59.0,0.0
2023-12-16 07:50:00+00:00,0.0,22.0,451.0,22.2,0.0,27.0,35.0,59.0,0.0
2023-12-16 07:55:00+00:00,0.0,22.0,459.0,22.2,0.0,31.0,35.0,59.0,0.0
2023-12-16 08:00:00+00:00,0.0,22.0,478.0,22.2,0.0,31.0,35.0,59.0,0.0
2023-12-16 08:05:00+00:00,0.0,22.0,461.0,22.2,0.0,31.0,36.0,59.0,0.0
