Sl No.,Department-Location,Tender Title,Tender Value in Rs,Published Date,Last Date,Tender Type,Category,Sub-Category,Tender Number
49,BBMP-EE-KRPURAM,Consturction of multipurpose hall in ward No 56,"2,289,370",05/04/2017,21/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT23957/CALL-3
50,BBMP-EE-KRPURAM,Construction of multi purpose Building in HAL Airport Ward No 87,"3,990,102",05/04/2017,21/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT24012/CALL-3
51,BBMP-EE-KRPURAM,Annual Maintenance of BBMP Building in ANarayanapura water supply sanitary etc of A NARAYANAPURA IN WARD NO 56,"430,560",05/04/2017,21/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT23964/CALL-2
52,BBMP-EE-KRPURAM,Repairs and Maintenance Works BBMP Building in HAL Airport Ward no 87,"2,498,370",05/04/2017,21/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT24003/CALL-3
53,BBMP-EE-MAHADEVAPURA,Improvements to road and drains at Ramanna layout Ist and 2nd cross Byrathi village in w.no.54,"4,898,163",06/04/2017,20/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25423
58,BBMP-EE-MAHADEVAPURA,Improvements to internal roads and drains at Byrathi in ward no-54,"3,999,715",06/04/2017,20/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25428
59,BBMP-EE-MAHADEVAPURA,Improvements to internal roads and drains at Ayappanagara(Vinayaka layout) in ward no-54,"4,494,648",06/04/2017,20/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25429
62,BBMP-EE-MAHADEVAPURA,"Improvements and providing water supply, sanitary works, Electical works, furniture to ward office in ward no 54","499,152",06/04/2017,20/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25458
63,BBMP-EE-MAHADEVAPURA,Development of Garden at Alfa Garden in ward no-54,"1,995,444",06/04/2017,20/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25431
66,BBMP-EE-MAHADEVAPURA,Improvements to Internal Roads and drains at Kaverinagara in Garudacharpalya ward no.82,"3,959,562",06/04/2017,20/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25462
70,BBMP-EE-CVRAMANNAGAR,Providing cement concrete Road at Ramaswamy layout in Malleshpalya in Ward No.57,"1,979,883",06/04/2017,08/05/2017,OPEN,WORKS,,BBMP/2016-17/RD/WORK_INDENT23094/CALL-3
72,BBMP-EE-MAHADEVAPURA,Improvements to Internal Roads and drain at Garudacharpalya ward no.82,"3,969,676",06/04/2017,20/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25461
75,BBMP-EE-MAHADEVAPURA,Repairs to Manholes in Garudacharpalya ward no.82,"999,401",06/04/2017,20/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25465
82,BBMP-EE-Chamarajpeth,Improvements and Asphalting to Rangantha Colony 1st Main road in Ward No 137,"1,499,446",06/04/2017,22/04/2017,OPEN,WORKS,,BBMP/2016-17/RD/WORK_INDENT24719/CALL-2
88,BBMP-EE-MAHADEVAPURA,Providing drinking water works in ward no.83 in Mahadevapura division,"1,273,844",06/04/2017,20/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25477
89,BBMP-EE-Chikpeth,"Improvements of CC roads,Asphalting road and RCC Drains Someshwara Colony In ward No: 144","4,452,333",06/04/2017,20/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25482
93,BBMP-EE-Chikpeth,Yearly maintenance and special maintenance for the BBMP Buildings in ward no 144,"925,118",06/04/2017,20/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25478
95,BBMP-EE-BTMLAYOUT,Engagement of Gangman and hiring of tractor / Tipper for cleaning and maintenance of Road side drains and other cleaning work the year 2017-18 in ward No. 146 (Lakkasandra),"1,198,264",06/04/2017,21/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25436
96,BBMP-EE-BTMLAYOUT,Construction of Toilet Block at Bus Stand near Police quarters in Lakkasandra in ward No. 146 Lakkasandra,"570,132",06/04/2017,21/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25438
102,BBMP-EE-BTMLAYOUT,Construction of Rain water Harvesting in ward No. 152 (Suddaguntepalya),"992,532",06/04/2017,21/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25445
104,BBMP-EE-BTMLAYOUT,Improvements to Roads at Maruthi Nagara Madiwala Extn and surrounding area in ward No. 152 (Suddaguntepalya),"1,992,542",06/04/2017,21/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25447
106,BBMP-EE-ELEC-SOUTH,Providing Ornamental lights fixtures to 22nd main and 28th main in 4th T Block Jayanagar in ward no 168.,"2,169,218",18/04/2017,26/04/2017,OPEN,WORKS,Electrical,BBMP/2017-18/EL/WORK_INDENT25557
107,BBMP-EE-ELEC-SOUTH,Supplying and installation testing and commissioning of Roof Top solar system to ward office in ward No 165.,"3,499,241",18/04/2017,26/04/2017,OPEN,WORKS,Electrical,BBMP/2017-18/EL/WORK_INDENT25554
108,BBMP-EE-ELEC-SOUTH,Providing Lighting System to Kadirenahalli Park and Street light fittings in ward no 180.,"1,962,098",18/04/2017,26/04/2017,OPEN,WORKS,Electrical,BBMP/2017-18/EL/WORK_INDENT25552
109,BBMP-EE-ELEC-SOUTH,Providing and fixing of LED street lights in Ward No 179 in Jaynagar Division.,"999,970",18/04/2017,26/04/2017,OPEN,WORKS,Electrical,BBMP/2017-18/EL/WORK_INDENT25559
110,BBMP-EE-ELEC-SOUTH,Supply and installation of Lift to IPP Multipurpose building in 9th Main Yarabnagar in ward no 180.,"2,494,548",18/04/2017,26/04/2017,OPEN,WORKS,Electrical,BBMP/2017-18/EL/WORK_INDENT25553
111,BBMP-EE-PDMBNGR,Providing cleaning and security maintenance samudhaya Bhavan and ward office Building in ward no 166.,"1,415,020",18/04/2017,21/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25566
